Pokemon,Type,Species,Height,Weight,Abilities,EV Yield,Catch Rate,Base Friendship,Base Exp,Growth Rate,Egg Groups,Gender,Egg Cycles,HP Base,HP Min,HP Max,Attack Base,Attack Min,Attack Max,Defense Base,Defense Min,Defense Max,Special Attack Base,Special Attack Min,Special Attack Max,Special Defense Base,Special Defense Min,Special Defense Max,Speed Base,Speed Min,Speed Max,Sprite
Aggron,"Steel, Rock",Iron Armor Pokémon,2.1 m (6′11″),360.0 kg (793.7 lbs),"1. Sturdy, 2. Rock Head, Heavy Metal (hidden ability)",3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),239,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,110,202,350,180,328,504,60,112,240,60,112,240,50,94,218,Aggron.png
Mega Aggron,Steel,Iron Armor Pokémon,2.2 m (7′03″),395.0 kg (870.8 lbs),1. Filter,3 Defense,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),284,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",70,250,344,140,256,416,230,418,614,60,112,240,80,148,284,50,94,218,Mega Aggron.png
Aipom,Normal,Long Tail Pokémon,0.8 m (2′07″),11.5 kg (25.4 lbs),"1. Run Away, 2. Pickup, Skill Link (hidden ability)",1 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,70,130,262,55,103,229,40,76,196,55,103,229,85,157,295,Aipom.png
Alakazam,Psychic,Psi Pokémon,1.5 m (4′11″),48.0 kg (105.8 lbs),"1. Synchronize, 2. Inner Focus, Magic Guard (hidden ability)",3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),225,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,45,85,207,135,247,405,95,175,317,120,220,372,Alakazam.png
Mega Alakazam,Psychic,Psi Pokémon,1.2 m (3′11″),48.0 kg (105.8 lbs),1. Trace,3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),270,Medium Slow,Human-Like,"75% male, 25% female","20 (4,884–5,140 steps)",55,220,314,50,94,218,65,121,251,175,319,493,105,193,339,150,274,438,Mega Alakazam.png
Alcremie,Fairy,Cream Pokémon,0.3 m (1′00″),0.5 kg (1.1 lbs),"1. Sweet Veil, Aroma Veil (hidden ability)",2 Sp. Def,"100 (13.1% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Amorphous, Fairy","0% male, 100% female","20 (4,884–5,140 steps)",65,240,334,60,112,240,75,139,273,110,202,350,121,222,375,64,119,249,Alcremie.png
Alomomola,Water,Caring Pokémon,1.2 m (3′11″),31.6 kg (69.7 lbs),"1. Healer, 2. Hydration, Regenerator (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),165,Fast,"Water 1, Water 2","50% male, 50% female","40 (10,024–10,280 steps)",165,440,534,75,139,273,80,148,284,40,76,196,45,85,207,65,121,251,Alomomola.png
Altaria,"Dragon, Flying",Humming Pokémon,1.1 m (3′07″),20.6 kg (45.4 lbs),"1. Natural Cure, Cloud Nine (hidden ability)",2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,70,130,262,90,166,306,70,130,262,105,193,339,80,148,284,Altaria.png
Mega Altaria,"Dragon, Fairy",Humming Pokémon,1.5 m (4′11″),20.6 kg (45.4 lbs),1. Pixilate,2 Sp. Def,"45 (5.9% with PokéBall, full HP)",50 (normal),207,Erratic,"Dragon, Flying","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,110,202,350,110,202,350,110,202,350,105,193,339,80,148,284,Mega Altaria.png
Amaura,"Rock, Ice",Tundra Pokémon,1.3 m (4′03″),25.2 kg (55.6 lbs),"1. Refrigerate, Snow Warning (hidden ability)",1 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),72,Medium Fast,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",77,264,358,59,110,238,50,94,218,67,125,256,63,117,247,46,87,210,Amaura.png
Ambipom,Normal,Long Tail Pokémon,1.2 m (3′11″),20.3 kg (44.8 lbs),"1. Technician, 2. Pickup, Skill Link (hidden ability)",2 Speed,"45 (5.9% with PokéBall, full HP)",100 (higher than normal),169,Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,100,184,328,66,123,254,60,112,240,66,123,254,115,211,361,Ambipom.png
Amoonguss,"Grass, Poison",Mushroom Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),"1. Effect Spore, Regenerator (hidden ability)",2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),162,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",114,338,432,85,157,295,70,130,262,85,157,295,80,148,284,30,58,174,Amoonguss.png
Ampharos,Electric,Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),"1. Static, Plus (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,75,139,273,85,157,295,115,211,361,90,166,306,55,103,229,Ampharos.png
Mega Ampharos,"Electric, Dragon",Light Pokémon,1.4 m (4′07″),61.5 kg (135.6 lbs),1. Mold Breaker,3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),275,Medium Slow,"Field, Monster","50% male, 50% female","20 (4,884–5,140 steps)",90,290,384,95,175,317,105,193,339,165,301,471,110,202,350,45,85,207,Mega Ampharos.png
Annihilape,"Fighting, Ghost",Rage Monkey Pokémon,1.2 m (3′11″),56.0 kg (123.5 lbs),"1. Vital Spirit, 2. Inner Focus, Defiant (hidden ability)",3 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),268,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,115,211,361,80,148,284,50,94,218,90,166,306,90,166,306,Annihilape.png
Anorith,"Rock, Bug",Old Shrimp Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs),"1. Battle Armor, Swift Swim (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Erratic,Water 3,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",45,200,294,95,175,317,50,94,218,40,76,196,50,94,218,75,139,273,Anorith.png
Appletun,"Grass, Dragon",Apple Nectar Pokémon,0.4 m (1′04″),13.0 kg (28.7 lbs),"1. Ripen, 2. Gluttony, Thick Fat (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),170,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,85,157,295,80,148,284,100,184,328,80,148,284,30,58,174,Appletun.png
Applin,"Grass, Dragon",Apple Core Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs),"1. Ripen, 2. Gluttony, Bulletproof (hidden ability)",1 Defense,"255 (33.3% with PokéBall, full HP)",50 (normal),52,Erratic,"Dragon, Grass","50% male, 50% female","20 (4,884–5,140 steps)",40,190,284,40,76,196,80,148,284,40,76,196,40,76,196,20,40,152,Applin.png
Araquanid,"Water, Bug",Water Bubble Pokémon,1.8 m (5′11″),82.0 kg (180.8 lbs),"1. Water Bubble, Water Absorb (hidden ability)",2 Sp. Def,"100 (13.1% with PokéBall, full HP)",50 (normal),159,Medium Fast,"Bug, Water 1","50% male, 50% female","15 (3,599–3,855 steps)",68,246,340,70,130,262,92,170,311,50,94,218,132,242,399,42,80,201,Araquanid.png
Arbok,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),"1. Intimidate, 2. Shed Skin, Unnerve (hidden ability)",2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,"Dragon, Field","50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,95,175,317,69,128,260,65,121,251,79,146,282,80,148,284,Arbok.png
Arboliva,"Grass, Normal",Olive Pokémon,1.4 m (4′07″),48.2 kg (106.3 lbs),"1. Seed Sower, Harvest (hidden ability)",3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),255,Medium Slow,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",78,266,360,69,128,260,90,166,306,125,229,383,109,200,348,39,74,194,Arboliva.png
Arcanine,Fire,Legendary Pokémon,1.9 m (6′03″),155.0 kg (341.7 lbs),"1. Intimidate, 2. Flash Fire, Justified (hidden ability)",2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)",90,290,384,110,202,350,80,148,284,100,184,328,80,148,284,95,175,317,Arcanine.png
Hisuian Arcanine,"Fire, Rock",Legendary Pokémon,2.0 m (6′07″),168.0 kg (370.4 lbs),"1. Intimidate, 2. Flash Fire, Rock Head (hidden ability)",2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),194,Slow,Field,"75% male, 25% female","20 (4,884–5,140 steps)",95,300,394,115,211,361,80,148,284,95,175,317,80,148,284,90,166,306,Hisuian Arcanine.png
Arceus,Normal,Alpha Pokémon,3.2 m (10′06″),320.0 kg (705.5 lbs),1. Multitype,3 HP,"3 (0.4% with PokéBall, full HP)",0 (lower than normal),360,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",120,350,444,120,220,372,120,220,372,120,220,372,120,220,372,120,220,372,Arceus.png
Archaludon,"Steel, Dragon",Alloy Pokémon,2.0 m (6′07″),60.0 kg (132.3 lbs),"1. Stamina, 2. Sturdy, Stalwart (hidden ability)",3 Defense,"10 (1.3% with PokéBall, full HP)",—,—,Medium Fast,"Dragon, Mineral","50% male, 50% female",—,90,290,384,105,193,339,130,238,394,125,229,383,65,121,251,85,157,295,Archaludon.png
Archen,"Rock, Flying",First Bird Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs),1. Defeatist,1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",55,220,314,112,206,355,45,85,207,74,137,271,45,85,207,70,130,262,Archen.png
Archeops,"Rock, Flying",First Bird Pokémon,1.4 m (4′07″),32.0 kg (70.5 lbs),1. Defeatist,2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,140,256,416,65,121,251,112,206,355,65,121,251,110,202,350,Archeops.png
Arctibax,"Dragon, Ice",Ice Fin Pokémon,0.8 m (2′07″),30.0 kg (66.1 lbs),"1. Thermal Exchange, Ice Body (hidden ability)",2 Attack,"25 (3.3% with PokéBall, full HP)",50 (normal),148,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",90,290,384,95,175,317,66,123,254,45,85,207,65,121,251,62,116,245,Arctibax.png
Arctovish,"Water, Ice",Fossil Pokémon,2.0 m (6′07″),175.0 kg (385.8 lbs),"1. Water Absorb, 2. Ice Body, Slush Rush (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,90,166,306,100,184,328,80,148,284,90,166,306,55,103,229,Arctovish.png
Arctozolt,"Electric, Ice",Fossil Pokémon,2.3 m (7′07″),150.0 kg (330.7 lbs),"1. Volt Absorb, 2. Static, Slush Rush (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Slow,Undiscovered,Genderless,"35 (8,739–8,995 steps)",90,290,384,100,184,328,90,166,306,90,166,306,80,148,284,55,103,229,Arctozolt.png
Ariados,"Bug, Poison",Long Leg Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),"1. Swarm, 2. Insomnia, Sniper (hidden ability)",2 Attack,"90 (11.8% with PokéBall, full HP)",50 (normal),140,Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,90,166,306,70,130,262,60,112,240,70,130,262,40,76,196,Ariados.png
Armaldo,"Rock, Bug",Plate Pokémon,1.5 m (4′11″),68.2 kg (150.4 lbs),"1. Battle Armor, Swift Swim (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,Water 3,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,125,229,383,100,184,328,70,130,262,80,148,284,45,85,207,Armaldo.png
Armarouge,"Fire, Psychic",Fire Warrior Pokémon,1.5 m (4′11″),85.0 kg (187.4 lbs),"1. Flash Fire, Weak Armor (hidden ability)",2 Sp. Atk,"25 (3.3% with PokéBall, full HP)",20 (lower than normal),263,Slow,Human-Like,"50% male, 50% female","35 (8,739–8,995 steps)",85,280,374,60,112,240,100,184,328,125,229,383,80,148,284,75,139,273,Armarouge.png
Aromatisse,Fairy,Fragrance Pokémon,0.8 m (2′07″),15.5 kg (34.2 lbs),"1. Healer, Aroma Veil (hidden ability)",2 HP,"140 (18.3% with PokéBall, full HP)",50 (normal),162,Medium Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",101,312,406,72,134,267,72,134,267,99,182,326,89,164,304,29,56,172,Aromatisse.png
Aron,"Steel, Rock",Iron Armor Pokémon,0.4 m (1′04″),60.0 kg (132.3 lbs),"1. Sturdy, 2. Rock Head, Heavy Metal (hidden ability)",1 Defense,"180 (23.5% with PokéBall, full HP)",35 (lower than normal),66,Slow,Monster,"50% male, 50% female","35 (8,739–8,995 steps)",50,210,304,70,130,262,100,184,328,40,76,196,40,76,196,30,58,174,Aron.png
Arrokuda,Water,Rush Pokémon,0.5 m (1′08″),1.0 kg (2.2 lbs),"1. Swift Swim, Propeller Tail (hidden ability)",1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),56,Slow,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",41,192,286,63,117,247,40,76,196,40,76,196,30,58,174,66,123,254,Arrokuda.png
Articuno,"Ice, Flying",Freeze Pokémon,1.7 m (5′07″),55.4 kg (122.1 lbs),"1. Pressure, Snow Cloak (hidden ability)",3 Sp. Def,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",90,290,384,85,157,295,100,184,328,95,175,317,125,229,383,85,157,295,Articuno.png
Galarian Articuno,"Psychic, Flying",Cruel Pokémon,1.7 m (5′07″),50.9 kg (112.2 lbs),1. Competitive,3 Sp. Atk,"3 (0.4% with PokéBall, full HP)",35 (lower than normal),290,Slow,Undiscovered,Genderless,"120 (30,584–30,840 steps)",90,290,384,85,157,295,85,157,295,125,229,383,100,184,328,95,175,317,Galarian Articuno.png
Audino,Normal,Hearing Pokémon,1.1 m (3′07″),31.0 kg (68.3 lbs),"1. Healer, 2. Regenerator, Klutz (hidden ability)",2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),390,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,86,159,298,60,112,240,86,159,298,50,94,218,Audino.png
Mega Audino,"Normal, Fairy",Hearing Pokémon,1.5 m (4′11″),32.0 kg (70.5 lbs),1. Healer,2 HP,"255 (33.3% with PokéBall, full HP)",50 (normal),425,Fast,Fairy,"50% male, 50% female","20 (4,884–5,140 steps)",103,316,410,60,112,240,126,231,386,80,148,284,126,231,386,50,94,218,Mega Audino.png
Aurorus,"Rock, Ice",Tundra Pokémon,2.7 m (8′10″),225.0 kg (496.0 lbs),"1. Refrigerate, Snow Warning (hidden ability)",2 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),104,Medium Fast,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",123,356,450,77,143,278,72,134,267,99,182,326,92,170,311,58,108,236,Aurorus.png
Avalugg,Ice,Iceberg Pokémon,2.0 m (6′07″),505.0 kg (1113.3 lbs),"1. Own Tempo, 2. Ice Body, Sturdy (hidden ability)",2 Defense,"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,"Mineral, Monster","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,117,215,366,184,335,513,44,83,205,46,87,210,28,54,170,Avalugg.png
Hisuian Avalugg,"Ice, Rock",Iceberg Pokémon,1.4 m (4′07″),262.4 kg (578.5 lbs),"1. Strong Jaw, 2. Ice Body, Sturdy (hidden ability)",2 Defense,"55 (7.2% with PokéBall, full HP)",50 (normal),180,Medium Fast,"Mineral, Monster","50% male, 50% female","20 (4,884–5,140 steps)",95,300,394,127,233,388,184,335,513,34,65,183,36,69,188,38,72,192,Hisuian Avalugg.png
Axew,Dragon,Tusk Pokémon,0.6 m (2′00″),18.0 kg (39.7 lbs),"1. Rivalry, 2. Mold Breaker, Unnerve (hidden ability)",1 Attack,"75 (9.8% with PokéBall, full HP)",35 (lower than normal),64,Slow,"Dragon, Monster","50% male, 50% female","40 (10,024–10,280 steps)",46,202,296,87,161,300,60,112,240,30,58,174,40,76,196,57,107,234,Axew.png
Azelf,Psychic,Willpower Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),1. Levitate,"2 Attack, 1 Sp. Atk","3 (0.4% with PokéBall, full HP)",140 (higher than normal),290,Slow,Undiscovered,Genderless,"80 (20,304–20,560 steps)",75,260,354,125,229,383,70,130,262,125,229,383,70,130,262,115,211,361,Azelf.png
Azumarill,"Water, Fairy",Aqua Rabbit Pokémon,0.8 m (2′07″),28.5 kg (62.8 lbs),"1. Thick Fat, 2. Huge Power, Sap Sipper (hidden ability)",3 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),210,Fast,"Fairy, Water 1","50% male, 50% female","10 (2,314–2,570 steps)",100,310,404,50,94,218,80,148,284,60,112,240,80,148,284,50,94,218,Azumarill.png
Azurill,"Normal, Fairy",Polka Dot Pokémon,0.2 m (0′08″),2.0 kg (4.4 lbs),"1. Thick Fat, 2. Huge Power, Sap Sipper (hidden ability)",1 HP,"150 (19.6% with PokéBall, full HP)",50 (normal),38,Fast,Undiscovered,"25% male, 75% female","10 (2,314–2,570 steps)",50,210,304,20,40,152,40,76,196,20,40,152,40,76,196,20,40,152,Azurill.png
Bagon,Dragon,Rock Head Pokémon,0.6 m (2′00″),42.1 kg (92.8 lbs),"1. Rock Head, Sheer Force (hidden ability)",1 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),60,Slow,Dragon,"50% male, 50% female","40 (10,024–10,280 steps)",45,200,294,75,139,273,60,112,240,40,76,196,30,58,174,50,94,218,Bagon.png
Baltoy,"Ground, Psychic",Clay Doll Pokémon,0.5 m (1′08″),21.5 kg (47.4 lbs),1. Levitate,1 Sp. Def,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,Mineral,Genderless,"20 (4,884–5,140 steps)",40,190,284,40,76,196,55,103,229,40,76,196,70,130,262,55,103,229,Baltoy.png
Banette,Ghost,Marionette Pokémon,1.1 m (3′07″),12.5 kg (27.6 lbs),"1. Insomnia, 2. Frisk, Cursed Body (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),159,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",64,238,332,115,211,361,65,121,251,83,153,291,63,117,247,65,121,251,Banette.png
Mega Banette,Ghost,Marionette Pokémon,1.2 m (3′11″),13.0 kg (28.7 lbs),1. Prankster,2 Attack,"45 (5.9% with PokéBall, full HP)",35 (lower than normal),194,Fast,Amorphous,"50% male, 50% female","25 (6,169–6,425 steps)",64,238,332,165,301,471,75,139,273,93,171,313,83,153,291,75,139,273,Mega Banette.png
Barbaracle,"Rock, Water",Collective Pokémon,1.3 m (4′03″),96.0 kg (211.6 lbs),"1. Sniper, 2. Tough Claws, Pickpocket (hidden ability)",2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),175,Medium Fast,Water 3,"50% male, 50% female","20 (4,884–5,140 steps)",72,254,348,105,193,339,115,211,361,54,101,227,86,159,298,68,126,258,Barbaracle.png
Barboach,"Water, Ground",Whiskers Pokémon,0.4 m (1′04″),1.9 kg (4.2 lbs),"1. Oblivious, 2. Anticipation, Hydration (hidden ability)",1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),58,Medium Fast,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,48,90,214,43,81,203,46,87,210,41,78,199,60,112,240,Barboach.png
Barraskewda,Water,Skewer Pokémon,1.3 m (4′03″),30.0 kg (66.1 lbs),"1. Swift Swim, Propeller Tail (hidden ability)",2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),172,Slow,Water 2,"50% male, 50% female","20 (4,884–5,140 steps)",61,232,326,123,225,379,60,112,240,60,112,240,50,94,218,136,249,408,Barraskewda.png
Basculegion Male,"Water, Ghost",Big Fish Pokémon,3.0 m (9′10″),110.0 kg (242.5 lbs),"1. Swift Swim, 2. Adaptability, Mold Breaker (hidden ability)",3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Fast,Water 2,"100% male, 0% female","20 (4,884–5,140 steps)",120,350,444,112,206,355,65,121,251,80,148,284,75,139,273,78,144,280,Basculegion (Male).png
Basculegion Female,"Water, Ghost",Big Fish Pokémon,3.0 m (9′10″),110.0 kg (242.5 lbs),"1. Swift Swim, 2. Adaptability, Mold Breaker (hidden ability)",3 HP,"45 (5.9% with PokéBall, full HP)",50 (normal),265,Medium Fast,Water 2,"0% male, 100% female","20 (4,884–5,140 steps)",120,350,444,92,170,311,65,121,251,100,184,328,75,139,273,78,144,280,Basculegion (Female).png
Basculin Red-Striped Form,Water,Hostile Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs),"1. Reckless, 2. Adaptability, Mold Breaker (hidden ability)",2 Speed,"25 (3.3% with PokéBall, full HP)",50 (normal),161,Medium Fast,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,Basculin (Red-Striped Form).png
Basculin Blue-Striped Form,Water,Hostile Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs),"1. Rock Head, 2. Adaptability, Mold Breaker (hidden ability)",2 Speed,"25 (3.3% with PokéBall, full HP)",50 (normal),161,Medium Fast,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,Basculin (Blue-Striped Form).png
Basculin White-Striped Form,Water,Mellow Pokémon,1.0 m (3′03″),18.0 kg (39.7 lbs),"1. Rattled, 2. Adaptability, Mold Breaker (hidden ability)",2 Speed,"25 (3.3% with PokéBall, full HP)",50 (normal),161,Medium Fast,Water 2,"50% male, 50% female","40 (10,024–10,280 steps)",70,250,344,92,170,311,65,121,251,80,148,284,55,103,229,98,180,324,Basculin (White-Striped Form).png
Bastiodon,"Rock, Steel",Shield Pokémon,1.3 m (4′03″),149.5 kg (329.6 lbs),"1. Sturdy, Soundproof (hidden ability)",2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Erratic,Monster,"87.5% male, 12.5% female","30 (7,454–7,710 steps)",60,230,324,52,98,223,168,306,478,47,89,212,138,252,412,30,58,174,Bastiodon.png
Baxcalibur,"Dragon, Ice",Ice Dragon Pokémon,2.1 m (6′11″),210.0 kg (463.0 lbs),"1. Thermal Exchange, Ice Body (hidden ability)",3 Attack,"10 (1.3% with PokéBall, full HP)",50 (normal),300,Slow,"Dragon, Mineral","50% male, 50% female","40 (10,024–10,280 steps)",115,340,434,145,265,427,92,170,311,75,139,273,86,159,298,87,161,300,Baxcalibur.png
