typeX,ratio,typeY
Dragon,1,Ground
Dragon,1,Flying
Dragon,1,Psychic
Dragon,1,Bug
Dragon,1,Rock
Dragon,1,Ghost
Dragon,2,Dragon
Dragon,1,Dark
Dragon,0.5,Steel
Dragon,0,Fairy
Dark,1,Normal
Dark,1,Fire
Dark,1,Water
Dark,1,Electric
Dark,1,Grass
Dark,1,Ice
Dark,0.5,Fighting
Dark,1,Poison
Dark,1,Ground
Dark,1,Flying
Dark,2,Psychic
Dark,1,Bug
Dark,1,Rock
Dark,2,Ghost
Dark,1,Dragon
Dark,0.5,Dark
Dark,1,Steel
Dark,0.5,Fairy
Steel,1,Normal
Steel,0.5,Fire
Steel,0.5,Water
Steel,0.5,Electric
Steel,1,Grass
Steel,2,Ice
Steel,1,Fighting
Steel,1,Poison
Steel,1,Ground
Steel,1,Flying
Steel,1,Psychic
Steel,1,Bug
Steel,2,Rock
Steel,1,Ghost
Steel,1,Dragon
Steel,0.5,Dark
Steel,2,Steel
Steel,1,Fairy
Fairy,1,Normal
Fairy,0.5,Fire
Fairy,1,Water
Fairy,1,Electric
Fairy,1,Grass
Fairy,1,Ice
Fairy,2,Fighting
Fairy,0.5,Poison
Fairy,1,Ground
Fairy,1,Flying
Fairy,1,Psychic
Fairy,1,Bug
Fairy,1,Rock
Fairy,1,Ghost
Fairy,2,Dragon
Fairy,2,Dark
Fairy,0.5,Steel
Fairy,1,Fairy
